month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
6,01/06/2009,4417.9,4517.6,4213.4,4249.2,1212136600,4249.2,0.961814437,-3.818556328
6,02/06/2008,6053.5,6074.5,5470.9,5625.9,1542828100,5625.9,0.929363178,-7.063682167
6,01/06/2007,6621.4,6751.3,6451.4,6607.9,1982709100,6607.9,0.997961156,-0.203884375
6,01/06/2006,5723.8,5865.7,5467.4,5833.4,1709102100,5833.4,1.019148118,1.914811838
6,01/06/2005,4964,5138.2,4964,5113.2,1585016100,5113.2,1.030056406,3.005640612
6,01/06/2004,4430.7,4535.1,4400.7,4464.1,1616433300,4464.1,1.007538312,0.753831223
6,02/06/2003,4048.1,4218.8,4021.6,4031.2,1717265600,4031.2,0.995825202,-0.417479805
6,05/06/2002,5085.1,5085.1,4442.9,4656.4,0,4656.4,0.915694873,-8.430512674
6,01/06/2001,5796.1,5981.8,5519.6,5642.5,0,5642.5,0.973499422,-2.650057797
6,01/06/2000,6359.3,6635.7,6221,6312.7,0,6312.7,0.992672149,-0.732785055
6,01/06/1999,6231,6613.6,6227.5,6318.5,0,6318.5,1.01404269,1.404268978
6,01/06/1998,5870.7,6049.6,5646.1,5832.5,0,5832.5,0.99349311,-0.650689015
6,02/06/1997,4644.7,4796,4524.2,4604.6,0,4604.6,0.991366504,-0.863349624
6,03/06/1996,3737,3774.7,3671.6,3711,0,3711,0.993042547,-0.69574525
6,01/06/1995,3352.3,3404.2,3265.5,3314.6,0,3314.6,0.98875399,-1.12460102
6,01/06/1994,2984.2,3059.2,2844.7,2919.2,0,2919.2,0.978218618,-2.178138194
6,01/06/1993,2836.1,2917.2,2829.8,2900,0,2900,1.02253094,2.253094038
6,01/06/1992,2697.7,2717.4,2502.2,2521.2,0,2521.2,0.934573896,-6.542610372
6,03/06/1991,2497.7,2543,2414.7,2414.8,0,2414.8,0.966809465,-3.319053529
6,01/06/1990,2345.3,2430.5,2332.7,2374.6,0,2374.6,1.012493071,1.249307125
6,01/06/1989,2118.6,2225.6,2076.5,2151,0,2151,1.015293118,1.52931181
